,Session_Duration,Daily_Active_Time,Login_Frequency,Level_Progression,In_Game_Currency_Earned,In_Game_Currency_Spent,Achievement_Unlocks,Social_Interactions,Friends_Added,Guild_Participation,Purchase_History,Game_Mode_Preferences,Event_Participation,Item_Usage,Time_of_Purchase,Retention_Rate,Churn_Rate,Referral_Activity,Customization_Preferences,Ad_Engagement,Device_Type,Geographic_Location,Demographic_Age,Demographic_Gender,In_Game_Purchases,Favorite_Items,Discount_Utilization,Promotion_Response,Quest_Completion_Rate,Battle_Participation,Leaderboard_Position,Player_Engagement_Level,Purchase_Likelihood
10,47.22,1.96,13,4,275,272,0,19,0,0,3,0,3,4,2,20,0.05,2,9,0,2,235,28,1,72.49,3,7,9,0.72,8,13.0,0,1
11,35.42,1.94,9,11,442,637,7,48,4,3,4,1,1,10,3,10,0.04,4,7,8,1,8,50,1,69.68,2,1,2,0.66,4,19.73,0,1
12,59.55,2.6,13,1,741,657,6,19,5,3,4,1,4,4,1,2,0.09,3,1,0,2,30,52,1,40.82,3,2,3,0.76,14,82.27,0,1
13,39.2,1.63,7,9,805,460,1,35,3,3,4,1,4,17,3,22,0.07,3,3,8,0,155,27,1,62.88,0,3,1,0.52,0,28.78,0,1
14,42.27,1.55,8,8,744,99,0,7,4,0,0,1,0,11,0,6,0.0,4,0,8,3,15,29,0,28.6,0,2,2,0.93,0,47.84,0,0
15,51.96,1.64,16,4,188,284,7,38,9,0,1,1,0,2,3,5,0.03,2,8,6,2,150,52,1,61.23,3,6,2,0.8,11,52.93,0,1
16,56.93,2.52,15,14,381,642,6,45,4,2,3,0,0,6,3,23,0.01,2,3,4,0,36,20,1,61.8,2,7,0,0.96,15,10.66,1,1
17,48.29,2.47,10,13,559,674,6,48,9,1,4,1,1,17,1,20,0.05,0,6,8,1,66,31,0,96.56,2,2,7,0.92,9,79.52,0,1
18,49.31,2.4,20,13,440,544,0,36,0,1,3,0,4,1,1,29,0.04,2,9,2,0,225,27,1,77.01,2,1,5,0.7,10,68.56,1,1
19,52.67,1.77,12,14,467,590,4,30,2,4,2,1,4,13,1,5,0.05,4,3,6,0,34,37,0,54.82,0,4,0,0.61,18,82.12,0,1
20,49.93,2.25,7,10,595,709,3,32,3,0,3,1,1,7,2,15,0.1,4,4,1,1,88,34,1,90.31,3,3,3,0.94,13,67.1,0,1
21,55.46,1.92,10,7,278,497,7,45,6,2,3,1,0,15,0,14,0.1,3,3,5,0,67,26,0,35.28,0,8,5,0.76,15,15.17,0,1
22,36.03,1.77,11,10,356,252,4,10,7,4,0,1,1,8,0,9,0.0,0,0,5,1,142,27,1,70.36,0,6,4,0.74,1,59.97,0,1
23,54.22,1.54,14,12,249,698,6,11,0,1,0,1,2,9,2,29,0.07,2,7,4,1,219,47,0,25.9,0,3,9,0.82,10,31.2,0,0
24,46.35,1.6,17,8,164,194,6,1,1,2,2,0,0,16,1,20,0.03,3,9,5,0,233,21,0,76.92,3,8,5,0.73,8,46.57,0,1
25,34.39,2.31,13,5,400,457,8,12,4,1,0,0,4,1,3,28,0.1,3,6,6,3,121,42,0,53.04,1,4,8,0.95,13,90.58,0,1
26,25.35,1.22,10,2,221,568,4,30,8,3,1,1,0,8,1,3,0.09,4,8,9,0,64,19,1,86.09,3,5,1,0.99,15,79.15,0,1
27,75.63,2.44,7,3,176,317,7,8,0,0,1,0,0,2,1,1,0.0,1,4,2,0,241,52,0,8.27,0,6,7,0.93,11,89.8,0,0
28,19.92,1.31,18,4,375,482,9,23,3,3,4,1,0,6,0,9,0.02,3,4,3,0,10,57,1,57.9,1,6,2,0.81,15,59.93,0,1
29,33.39,2.74,19,1,432,459,8,29,5,0,4,0,1,0,3,7,0.1,0,1,9,3,138,19,1,48.16,3,3,1,0.54,7,66.37,0,1
30,45.85,1.7,8,12,700,758,3,7,4,1,1,0,2,1,1,12,0.03,0,5,5,0,92,29,0,81.62,1,7,1,0.89,6,66.88,0,1
31,46.57,1.41,13,8,771,121,6,31,0,0,4,0,1,19,0,27,0.05,0,6,0,1,57,41,0,50.8,3,0,5,0.66,4,50.84,0,1
32,33.91,1.25,10,6,589,460,1,17,8,0,0,1,2,0,3,1,0.08,3,4,3,0,56,18,1,95.32,3,4,9,0.75,16,49.11,0,1
33,43.68,1.85,8,9,262,452,3,18,1,3,4,0,1,17,0,13,0.04,1,0,1,2,205,29,1,7.72,1,5,8,0.98,14,92.3,0,1
34,41.85,1.89,20,2,874,657,5,47,0,1,1,1,2,19,3,22,0.01,4,5,2,0,179,23,1,61.26,3,0,3,0.71,19,20.76,0,1
35,43.91,2.03,7,12,402,354,9,25,8,0,3,0,3,13,3,12,0.07,4,9,3,2,215,58,1,64.85,2,4,1,0.9,16,29.81,0,1
36,56.77,2.07,10,14,960,332,7,14,8,3,4,1,2,6,1,24,0.06,4,4,4,0,188,59,1,57.93,0,9,0,0.85,19,67.53,0,1
37,51.27,1.73,18,10,464,568,8,14,0,3,2,0,0,8,0,13,0.0,4,6,9,2,147,25,0,79.34,3,3,5,0.67,6,62.84,0,1
38,48.65,2.49,11,2,834,353,9,42,1,2,1,0,3,4,3,21,0.02,3,6,9,2,9,50,0,10.41,2,4,8,0.65,11,0.65,0,0
39,33.12,1.99,12,3,260,771,9,19,7,0,1,1,4,16,3,4,0.07,4,4,9,0,90,26,1,66.78,2,4,9,0.76,0,18.3,0,1
40,43.56,1.89,17,10,916,116,5,18,5,1,2,1,0,2,2,22,0.06,1,2,1,1,96,44,1,85.4,2,5,4,0.53,14,22.72,0,1
41,51.21,2.02,10,13,222,214,2,39,5,0,4,0,3,15,0,14,0.09,4,5,7,0,79,31,1,70.43,3,0,2,0.97,10,54.89,0,1
42,32.84,2.33,11,2,964,261,6,1,3,4,1,0,1,13,1,17,0.04,1,9,6,0,80,22,1,66.51,1,9,6,0.82,10,84.65,0,1
43,50.3,1.7,8,13,254,412,8,29,5,3,2,0,4,12,3,7,0.09,0,5,7,1,138,40,0,29.03,0,0,7,0.96,8,68.81,0,0
44,42.65,2.02,9,11,940,336,3,31,1,0,2,1,4,1,2,1,0.03,4,2,0,0,68,52,1,80.46,3,5,4,0.92,18,76.35,0,1
45,56.95,1.73,11,10,792,479,7,16,6,2,0,1,3,16,0,25,0.08,0,4,0,1,241,32,1,55.47,3,8,4,0.52,18,33.25,0,1
46,46.74,1.74,16,14,115,390,8,46,4,4,1,1,3,6,2,14,0.07,0,6,6,3,75,51,1,6.75,1,3,8,0.77,19,91.74,0,0
47,46.39,2.22,8,11,187,593,2,44,6,3,0,0,4,19,2,18,0.0,3,7,7,2,153,46,1,5.44,1,2,4,0.98,1,69.36,0,0
48,53.22,2.11,12,2,849,121,9,20,4,2,3,0,4,6,0,21,0.03,3,4,5,1,53,21,0,1.07,0,5,9,0.99,19,71.88,0,1
49,42.09,1.72,10,1,957,637,1,48,2,3,3,1,3,17,1,25,0.02,1,5,8,3,17,44,0,0.77,3,9,9,0.88,1,96.75,0,1
50,60.22,1.84,9,3,451,509,6,3,7,4,4,1,1,6,1,30,0.06,2,5,5,1,139,23,0,54.41,0,2,8,0.68,18,10.41,0,1
51,55.52,1.44,9,1,656,739,2,1,3,3,0,1,0,5,1,2,0.03,2,0,3,0,140,47,1,15.12,2,3,5,0.65,18,91.24,0,0
52,48.52,1.42,20,8,140,609,8,26,2,4,4,0,3,18,0,30,0.08,0,4,8,2,241,38,1,63.78,1,2,3,0.75,4,89.75,0,1
53,50.83,1.8,17,13,687,101,8,22,1,3,2,0,1,13,1,20,0.1,1,3,9,1,74,33,0,55.35,1,8,8,0.58,9,98.77,0,1
54,51.41,2.0,8,9,762,796,5,25,9,1,3,0,3,5,1,21,0.02,4,6,2,3,47,36,0,51.04,0,4,9,0.61,17,78.98,0,1
55,31.58,2.15,12,2,954,373,1,28,2,2,4,0,3,0,1,3,0.02,1,5,0,2,152,28,0,60.4,1,7,1,0.81,9,28.35,0,1
56,50.72,2.2,16,8,794,189,1,32,9,4,4,0,0,11,3,13,0.05,4,9,2,1,102,33,1,93.88,1,1,4,0.76,6,12.83,0,1
57,27.6,2.39,7,12,941,681,4,17,9,2,0,0,0,11,3,15,0.07,2,5,0,3,112,50,0,60.14,2,1,5,0.72,18,31.99,0,1
58,54.88,2.3,10,9,332,115,9,7,4,2,3,1,4,15,2,3,0.03,4,4,9,2,128,55,1,94.58,0,9,4,0.94,10,21.23,0,1
59,36.73,1.94,15,12,897,611,0,14,6,0,3,1,3,12,0,15,0.02,3,6,4,2,27,43,1,37.42,1,3,6,0.87,16,60.16,0,1
60,47.89,1.81,8,4,770,69,7,44,2,2,1,0,3,19,2,17,0.08,1,0,5,0,177,46,1,46.64,3,0,5,0.57,10,31.37,0,0
61,42.18,1.33,9,12,978,165,3,16,5,1,0,0,0,0,3,17,0.06,2,1,1,3,223,46,0,99.72,1,8,8,0.61,2,67.21,0,1
62,36.43,1.84,12,7,397,799,3,27,9,2,2,1,1,5,1,6,0.07,3,8,2,3,71,58,1,29.0,1,0,0,0.71,0,66.65,0,0
63,45.96,1.07,19,14,279,178,6,25,0,1,3,0,3,15,3,8,0.04,1,6,1,3,180,42,1,23.34,2,9,8,0.79,1,31.88,0,1
64,43.52,2.3,9,2,396,453,7,44,1,1,2,0,2,18,2,10,0.1,1,6,8,2,161,44,1,36.31,2,8,7,0.66,9,41.33,0,0
65,53.01,1.85,16,11,120,713,0,32,6,4,1,1,1,14,1,26,0.1,3,8,6,3,36,38,1,29.38,0,9,1,0.57,11,56.74,0,0
66,47.93,1.94,19,9,473,752,1,10,9,4,0,1,2,5,1,16,0.02,4,8,3,1,69,58,1,39.28,2,1,2,0.61,0,60.4,0,0
67,40.98,2.07,10,6,928,270,1,32,9,1,4,1,4,9,3,1,0.07,1,5,9,3,15,54,0,76.3,0,1,6,0.73,12,21.91,0,1
68,41.22,2.09,9,5,687,466,0,13,3,0,4,1,2,13,3,9,0.03,0,3,6,3,64,34,0,83.25,1,8,3,0.86,17,61.0,0,1
69,48.9,0.9,9,10,475,332,2,43,4,0,4,1,3,13,2,19,0.01,2,0,1,2,239,31,0,53.43,1,1,2,0.63,5,88.19,0,1
70,60.52,2.3,14,1,934,297,8,35,0,0,3,1,0,17,2,14,0.05,1,0,1,2,13,30,0,44.66,0,9,6,0.93,19,5.97,0,1
71,29.44,2.61,8,9,682,454,0,46,8,1,2,0,0,19,2,30,0.05,1,7,8,0,39,41,1,70.19,2,1,4,0.54,2,65.46,0,1
72,42.34,1.34,15,3,392,705,1,47,5,1,0,0,0,4,0,11,0.01,2,8,2,2,162,20,1,75.32,1,5,1,0.97,8,10.3,0,1
73,53.1,1.13,9,9,637,467,0,23,1,0,1,0,2,2,0,14,0.07,4,9,5,1,8,38,1,9.87,0,8,8,0.65,2,98.46,0,0
74,47.02,0.99,18,14,896,474,2,33,6,1,2,0,1,11,0,12,0.03,1,7,1,3,30,52,1,96.38,0,6,9,0.73,18,91.21,0,1
75,44.69,2.3,7,8,455,315,7,8,8,4,1,1,0,10,3,23,0.02,1,7,3,1,146,40,0,78.5,2,0,8,0.51,12,34.58,0,1
76,52.87,2.14,18,2,409,755,5,11,4,1,0,1,0,10,2,21,0.01,4,9,9,0,8,52,1,58.56,2,2,8,0.99,13,82.39,0,1
77,46.54,1.34,20,9,180,603,1,19,3,2,1,1,0,17,1,3,0.03,0,6,9,0,6,40,1,5.68,2,8,5,0.81,19,48.34,0,0
78,49.87,2.33,14,13,206,569,4,6,1,2,0,0,1,19,2,23,0.05,3,3,5,3,173,55,1,47.9,1,6,9,0.98,4,79.99,1,0
79,57.34,1.6,15,7,534,489,4,17,6,3,2,1,3,5,2,1,0.01,0,3,7,3,190,27,1,96.34,2,1,2,0.84,16,32.53,0,1
80,37.42,2.31,13,6,127,120,7,32,6,3,3,1,3,16,0,26,0.06,0,2,8,1,201,44,0,63.49,3,9,8,0.54,8,44.46,1,1
81,57.57,2.83,14,9,222,407,0,35,1,1,3,1,1,9,0,18,0.09,1,6,9,3,241,38,0,11.0,0,1,4,0.75,19,6.83,0,1
82,45.31,2.12,9,5,822,112,9,12,4,1,3,0,0,10,3,7,0.04,3,0,7,3,153,36,1,38.24,0,9,7,0.74,2,36.25,0,1
83,33.24,2.59,7,2,176,331,9,28,4,0,2,1,2,5,1,29,0.09,3,2,4,3,200,35,1,2.57,1,8,6,0.57,6,37.63,0,0
84,42.56,2.31,16,10,697,286,0,47,1,4,1,0,1,7,1,26,0.06,0,9,2,3,239,25,1,71.11,3,9,7,0.63,12,41.08,1,1
85,38.27,1.91,11,10,153,286,3,26,9,2,1,1,3,4,0,19,0.06,4,6,8,3,2,52,0,89.36,3,8,3,0.94,1,5.76,0,1
86,37.33,1.09,8,3,627,538,5,5,2,1,0,1,1,3,2,27,0.02,4,1,0,1,119,25,1,62.96,2,3,5,0.53,4,97.07,0,1
87,54.09,1.52,20,6,804,677,0,46,4,4,1,1,2,1,3,20,0.03,1,4,9,1,224,45,1,51.55,0,5,0,0.93,13,32.27,0,1
88,38.32,2.16,17,6,819,393,4,14,2,3,1,1,2,5,1,7,0.03,1,7,0,2,81,44,0,17.63,2,6,7,0.89,4,12.11,0,0
89,67.36,1.21,11,7,188,756,6,3,2,1,1,0,4,5,0,16,0.02,4,0,6,3,192,57,1,70.24,3,0,2,0.8,2,63.66,0,1
90,49.61,2.57,10,5,361,755,6,12,7,1,1,0,3,7,0,28,0.0,1,7,0,2,194,43,0,13.43,1,5,8,0.97,14,61.99,0,0
91,57.51,2.23,15,14,967,739,1,45,3,4,3,1,1,10,0,12,0.04,2,8,4,0,241,47,0,73.38,1,7,8,0.83,11,78.52,0,1
92,54.26,1.71,12,9,317,385,7,46,0,0,1,1,1,0,0,9,0.08,2,1,7,2,240,32,1,46.72,3,8,3,0.64,0,41.72,0,0
93,44.56,1.48,9,2,341,390,6,29,8,0,4,1,0,8,1,6,0.02,0,4,8,0,140,28,0,87.96,0,2,9,0.97,2,7.82,0,1
94,48.36,2.11,14,13,125,282,4,30,4,2,3,1,4,12,2,12,0.09,4,6,5,3,172,53,1,81.54,0,9,2,0.72,3,16.14,0,1
95,36.42,1.12,12,4,285,524,7,6,2,4,1,1,3,5,3,28,0.03,2,4,6,0,114,28,1,28.52,3,5,0,0.53,6,83.4,0,0
96,57.59,2.1,13,10,184,624,2,29,6,1,4,1,1,8,2,23,0.03,0,7,6,1,58,43,0,87.23,0,1,1,0.86,16,10.71,1,1
97,20.65,2.16,16,8,130,368,4,40,2,4,0,0,1,19,1,19,0.02,3,3,6,2,225,41,1,42.87,3,9,9,0.96,5,57.75,0,0
98,50.14,2.02,12,14,934,117,8,43,0,1,0,0,4,0,1,27,0.01,4,3,3,1,238,23,0,26.55,2,9,0,0.72,7,91.35,1,0
99,49.07,1.45,13,13,791,406,6,38,0,4,2,0,4,5,2,11,0.02,1,2,3,1,114,50,1,36.59,2,0,5,0.63,10,52.3,0,0
100,46.77,1.75,20,6,680,494,7,24,8,1,0,1,4,10,1,12,0.04,0,4,8,1,108,45,1,33.16,2,5,6,0.72,10,27.7,0,0
101,51.2,2.14,16,3,498,606,5,11,3,2,3,0,2,13,1,14,0.1,0,5,8,2,169,28,0,31.62,0,0,0,0.64,1,65.5,0,1
102,48.2,1.07,16,11,465,458,5,27,9,3,0,0,4,10,2,24,0.01,3,1,4,1,180,22,0,93.73,1,6,4,1.0,7,7.83,0,1
103,38.67,2.23,11,10,806,540,1,6,0,1,4,0,1,4,2,15,0.06,3,3,4,0,170,55,0,76.88,2,9,1,0.61,4,20.35,0,1
104,56.55,1.77,16,8,849,345,5,43,4,1,4,0,2,13,1,17,0.05,0,3,4,1,174,18,0,17.6,0,4,3,0.69,5,27.02,0,1
105,48.23,2.49,17,13,709,428,4,3,1,3,3,0,2,12,0,14,0.0,3,4,8,0,13,58,1,83.36,0,3,0,0.7,1,17.82,0,1
106,58.24,2.18,10,12,158,734,9,37,9,0,2,0,4,3,1,12,0.08,2,4,5,0,28,40,1,99.48,2,4,4,0.98,6,63.81,0,1
107,45.54,1.88,14,13,336,471,5,44,8,4,3,1,3,16,2,5,0.02,3,7,7,2,162,38,0,91.56,2,0,5,0.59,9,63.76,0,1
108,41.26,1.68,12,6,594,766,2,28,7,1,4,1,2,18,1,23,0.03,1,6,0,0,184,37,0,70.69,3,4,4,0.75,16,0.56,0,1
109,48.42,1.75,9,7,731,575,4,24,2,2,1,0,3,17,0,21,0.0,4,0,1,0,158,54,0,5.93,2,8,7,0.81,7,98.77,0,0
110,47.98,2.95,12,12,823,784,7,47,0,2,2,1,0,15,2,9,0.1,4,3,0,2,198,28,1,16.38,2,2,2,0.79,9,89.66,0,0
111,41.39,1.74,17,6,116,399,1,26,8,2,4,1,1,10,1,13,0.06,0,6,1,0,63,48,1,38.24,0,7,0,0.88,10,40.46,0,1
112,46.54,2.42,8,3,511,385,2,3,7,2,3,1,2,6,1,26,0.03,0,2,0,1,156,26,1,96.29,3,4,3,0.54,3,80.56,0,1
113,28.51,2.42,7,3,108,440,8,45,2,2,0,1,4,7,3,16,0.04,2,3,5,2,90,22,1,3.42,0,8,7,0.94,15,69.28,0,0
114,43.29,1.31,12,6,262,350,0,5,9,1,3,1,3,2,0,3,0.03,0,4,7,2,193,46,1,96.64,3,3,7,0.72,17,22.58,0,1
115,30.19,1.6,7,2,273,263,6,43,9,3,0,1,1,15,0,18,0.07,1,7,9,1,22,26,1,61.26,2,4,7,0.89,14,71.08,0,1
116,53.16,1.21,9,6,408,797,7,31,6,0,4,0,3,13,1,26,0.08,1,6,4,0,34,39,1,35.82,1,7,7,0.58,16,97.32,0,1
117,34.75,1.31,18,2,416,717,4,23,7,4,0,1,0,8,0,9,0.08,3,7,1,3,8,58,0,20.43,1,6,0,0.92,9,59.39,0,0
118,45.05,2.24,20,9,988,416,3,47,9,3,0,0,1,14,1,10,0.08,0,2,3,2,68,49,0,50.52,2,0,5,0.81,8,22.74,0,1
119,52.19,1.44,8,5,816,523,7,33,7,1,1,1,1,0,0,25,0.01,1,1,2,0,130,34,1,76.66,2,1,6,0.52,5,11.94,0,1
120,35.73,1.55,20,2,495,646,2,43,9,4,1,0,4,6,0,9,0.0,1,0,0,2,141,33,1,98.01,2,8,8,0.59,13,80.23,0,1
121,40.83,3.05,18,9,737,726,8,49,2,1,2,1,2,1,3,9,0.05,2,4,2,3,209,50,1,81.03,1,3,7,0.76,18,79.77,0,1
122,33.46,2.23,7,10,203,592,5,31,8,3,1,0,0,9,2,12,0.02,1,4,6,0,59,21,0,36.93,3,6,2,0.54,13,37.35,0,0
123,39.43,1.49,20,13,380,63,6,25,3,3,2,1,2,12,1,19,0.05,0,8,1,3,138,30,1,68.83,0,5,4,0.56,1,8.28,0,1
124,43.09,1.96,16,2,720,774,2,47,9,3,2,1,3,18,3,22,0.0,0,2,8,1,177,25,1,29.89,1,7,8,0.62,6,54.87,0,0
125,46.33,2.28,14,10,255,746,2,31,2,1,4,1,3,14,0,11,0.07,1,2,5,1,81,47,0,97.22,3,1,9,0.59,10,32.57,0,1
126,46.0,2.08,20,12,597,393,8,3,2,4,0,0,0,11,0,8,0.1,2,2,7,3,218,31,0,48.54,1,3,1,0.94,11,10.16,0,0
127,42.59,2.47,10,14,513,431,9,6,7,3,1,0,4,10,0,24,0.04,1,4,9,3,127,36,0,12.43,2,1,5,0.59,4,89.23,0,0
128,41.44,0.84,18,4,632,418,6,41,2,1,0,1,4,2,3,29,0.0,1,8,6,2,26,48,1,80.57,0,6,0,0.85,19,15.42,0,1
129,53.91,2.23,10,3,944,649,2,22,4,4,1,1,4,8,0,9,0.05,0,5,5,1,207,58,0,55.62,2,0,1,0.89,3,28.86,0,1
130,51.81,1.11,20,8,894,439,9,28,5,2,1,0,0,5,0,15,0.04,3,9,1,1,14,42,0,5.13,1,3,0,0.63,1,6.7,0,0
131,58.34,2.27,20,12,535,773,8,31,1,2,1,1,2,8,2,2,0.07,2,3,6,0,92,52,0,6.95,1,6,8,0.57,11,75.0,0,0
132,45.93,2.3,12,8,221,738,3,31,3,2,4,1,0,13,2,11,0.1,4,6,5,3,169,44,0,75.46,3,7,0,0.76,7,94.62,0,1
133,32.99,1.92,7,1,478,107,1,16,9,0,4,1,3,7,0,13,0.01,4,3,4,0,18,32,0,42.88,3,9,3,0.86,6,20.68,0,1
134,46.7,1.46,19,2,396,213,6,19,4,1,1,1,4,12,1,29,0.02,1,3,4,2,72,54,1,95.76,0,1,3,0.7,1,87.28,0,1
135,39.33,1.69,14,12,712,536,7,4,3,0,4,1,4,8,1,3,0.03,0,5,4,3,108,50,1,1.15,2,1,7,1.0,6,94.62,0,1
136,24.43,2.72,8,2,651,708,6,18,9,3,4,0,0,16,0,21,0.03,0,6,2,2,68,23,0,52.1,3,9,5,0.68,16,24.71,0,1
137,43.23,2.65,8,3,281,375,7,27,8,0,3,0,1,17,3,18,0.08,4,2,9,0,158,39,1,20.03,1,2,4,0.73,6,28.88,0,1
138,40.63,1.26,16,4,988,169,1,8,5,4,2,1,2,14,2,25,0.04,3,4,7,1,222,49,1,58.4,0,7,7,0.78,2,79.95,0,1
139,32.31,1.44,17,4,290,652,2,25,8,3,4,1,4,3,2,15,0.09,1,7,6,0,0,45,0,39.42,1,7,0,0.58,18,84.39,0,1
140,34.55,1.48,8,9,667,648,5,24,7,0,3,0,3,0,1,5,0.08,0,6,3,0,212,19,0,71.35,1,8,0,0.53,4,26.73,0,1
141,50.05,2.57,14,4,166,304,9,37,1,3,1,1,2,12,0,23,0.04,2,2,0,3,78,46,1,72.88,0,1,7,0.83,9,87.29,0,1
142,41.55,1.88,15,5,731,154,7,47,9,4,0,0,0,15,1,7,0.09,1,7,4,2,9,32,1,13.44,3,4,6,1.0,12,16.4,0,0
143,70.63,2.24,17,5,226,500,9,9,1,1,0,0,3,7,1,16,0.01,4,9,2,1,203,45,0,64.69,3,5,7,0.66,3,6.37,0,1
144,42.25,2.06,17,5,597,701,9,35,9,0,3,1,4,9,1,5,0.09,1,6,1,3,210,34,0,9.19,1,0,9,0.68,16,26.75,0,1
145,25.38,2.04,16,4,764,524,8,27,7,2,4,0,0,11,1,20,0.05,2,7,9,1,169,56,1,78.13,2,2,1,0.89,5,56.79,0,1
146,39.91,2.11,9,2,611,418,4,27,3,4,1,0,0,7,3,7,0.01,0,5,3,2,27,38,1,64.87,0,2,4,0.57,18,73.25,0,1
147,55.14,1.48,20,11,502,788,0,1,6,0,2,0,4,17,2,8,0.04,3,7,7,0,101,30,1,30.81,3,6,0,0.59,14,14.45,0,0
148,38.91,2.14,15,2,747,427,1,6,9,0,0,0,1,14,2,5,0.03,0,1,1,0,178,42,0,72.03,2,0,2,0.96,15,87.91,0,1
149,47.99,1.45,16,11,260,458,5,33,7,1,2,1,0,6,1,27,0.07,1,9,4,0,32,51,1,85.33,1,4,3,0.6,14,24.01,0,1
150,60.17,1.68,8,11,367,494,7,12,9,4,1,0,4,4,2,13,0.07,0,2,5,1,165,21,1,96.8,3,5,9,0.8,10,42.23,0,1
151,55.16,2.39,7,9,395,211,2,15,9,1,3,0,0,9,1,29,0.08,3,8,5,0,28,37,0,23.92,2,2,7,0.66,19,13.04,0,1
152,59.47,2.11,17,11,671,316,9,15,9,0,0,1,2,15,1,4,0.08,1,9,8,3,123,18,1,73.8,2,2,9,0.94,9,14.32,0,1
153,55.37,2.66,19,8,835,185,5,19,6,1,2,0,2,16,2,4,0.06,1,8,2,3,185,24,0,18.45,0,6,1,0.73,17,64.03,0,0
154,57.02,1.91,17,3,223,186,5,9,5,0,0,0,3,10,1,3,0.0,1,0,6,0,212,59,1,93.35,2,6,0,0.77,8,66.05,0,1
155,44.7,2.04,20,11,894,211,5,4,7,4,4,1,3,19,2,9,0.04,4,2,8,3,65,39,0,62.28,3,8,9,0.71,9,89.27,0,1
156,41.53,2.06,12,9,413,569,7,5,0,4,3,0,1,12,2,5,0.09,3,2,1,2,196,47,1,40.76,1,0,3,0.55,10,89.13,0,1
157,32.71,1.93,7,1,588,158,6,28,6,1,0,0,1,1,0,5,0.03,1,1,6,3,231,45,0,54.47,1,0,7,0.66,15,0.3,0,1
158,31.93,2.26,7,11,396,136,3,35,7,3,1,1,4,16,0,24,0.08,4,3,2,2,75,43,1,36.68,0,1,8,0.84,11,10.04,0,0
159,36.8,1.85,17,11,975,400,6,37,4,2,4,1,3,19,2,1,0.05,2,4,9,0,151,39,0,62.65,0,8,5,0.77,5,51.02,0,1
160,52.03,1.53,17,14,987,756,0,37,6,0,0,1,1,10,2,22,0.08,3,9,4,1,70,47,0,57.02,0,4,8,0.79,1,7.1,0,1
161,35.25,2.32,17,13,349,714,0,30,2,0,0,1,0,17,2,7,0.04,1,7,0,3,128,26,0,6.77,2,1,8,0.8,15,29.43,0,0
162,45.35,1.4,9,3,871,67,7,28,9,2,1,1,4,1,3,11,0.07,4,0,3,3,210,48,0,33.23,3,7,7,0.74,3,86.51,0,0
163,50.04,2.03,15,3,847,264,9,33,5,0,1,1,3,5,1,11,0.05,2,6,9,0,29,37,1,86.08,1,1,3,0.52,4,12.13,0,1
164,54.74,2.86,16,10,168,784,4,5,6,2,3,0,3,3,2,24,0.03,1,5,8,0,84,45,1,98.94,0,4,3,0.99,18,90.02,1,1
165,71.28,1.75,17,10,490,117,3,36,6,4,2,1,4,15,3,2,0.09,3,3,2,0,72,31,1,97.82,2,5,8,0.53,9,2.39,0,1
166,40.78,1.78,9,8,871,496,0,24,5,1,2,1,3,8,1,10,0.03,3,2,0,2,7,33,0,38.39,2,1,5,0.54,5,19.29,0,0
