,Daily_Active_Time,In_Game_Currency_Earned,Purchase_History,Time_of_Purchase,Churn_Rate,In_Game_Purchases,Discount_Utilization,Quest_Completion_Rate
636,1.49,312,0,2,0.0,30.6,0,0.79
5887,1.712465420752909,726,2,2,0.08887935420322313,47.47518827801879,4,0.6213447749561323
6744,2.187769089429232,807,0,1,0.006755381788584633,15.689154458887096,5,0.7078199632516002
1083,1.46,142,3,1,0.07,0.12,7,0.53
861,2.15,504,0,1,0.08,16.58,2,0.76
6644,1.91,620,0,1,0.07315267464614392,15.765830581174319,5,0.8031526746461439
903,2.08,798,2,2,0.05,20.23,0,0.59
2794,1.5,229,4,3,0.02,15.69,8,0.9
109,1.75,731,1,0,0.0,5.93,8,0.81
6709,2.2745358502210244,226,1,0,0.07897288611520416,37.83452901697913,6,0.7687017472672457
4395,2.13,819,0,0,0.09,43.97,2,0.79
2486,2.16,403,0,0,0.05,16.15,0,0.96
2298,2.05,205,0,1,0.06,42.3,5,0.94
6732,2.44077711541794,355,0,0,0.06234365384692884,24.195117884924606,5,0.9023436538469288
5799,2.0596467654654815,769,1,0,0.08,46.5580819024516,6,0.7699399517494161
6755,2.358145723424902,242,2,0,0.07951611404200261,48.609191045014434,0,0.8951611404200261
1831,2.48,343,1,2,0.03,33.7,1,0.58
2603,2.08,824,2,3,0.1,14.73,5,0.95
782,1.71,663,1,1,0.05,40.71,0,0.55
6811,1.8798832747481968,780,2,0,0.06388231531640014,11.629104575257438,2,0.6301183243047976
3274,1.62,860,0,1,0.06,78.33,9,0.99
6606,2.420501673842332,576,0,0,0.013718645384854261,35.912297525089144,8,0.5815937051649375
6208,2.71648623955762,961,2,1,0.0011712534807934193,35.44275119752466,7,0.8678970473651346
1825,1.7,838,2,3,0.05,74.43,9,0.99
1094,1.21,218,2,2,0.1,40.86,0,0.87
4881,1.77,463,3,2,0.09,24.77,0,0.79
3650,1.43,264,2,1,0.08,43.79,3,0.97
2570,1.54,933,2,2,0.04,8.57,4,0.81
5606,2.012378675756411,959,1,1,0.049881066212179456,40.96523099070864,3,0.9000594668939103
2533,1.43,633,1,1,0.03,38.75,3,0.71
4917,2.53,542,0,3,0.09,98.96,1,0.68
1654,2.11,136,0,2,0.07,9.89,0,0.86
5710,1.728956623881019,643,0,0,0.06504065344238343,32.97356575661256,4,0.9034417425130224
5338,2.222401216870182,465,0,2,0.07,17.836406025437448,5,0.7758936920386874
3947,2.48,637,0,1,0.05,34.36,1,0.89
3773,2.59,918,0,0,0.02,13.26,8,0.58
5650,1.366083387580619,875,0,0,0.06,11.010765574165324,3,0.8277697239940639
2464,2.89,419,2,3,0.02,75.17,7,0.66
4340,2.85,524,3,0,0.04,0.26,7,0.74
4475,1.71,463,2,0,0.0,16.76,2,0.54
2413,2.02,438,3,1,0.04,48.89,9,0.99
6626,2.076998603710111,762,0,1,0.01,26.76265289177573,4,0.7903968165377375
4773,1.57,400,2,2,0.04,31.8,8,0.74
1204,2.14,695,4,1,0.03,93.29,4,0.79
5559,2.2713559110590222,840,0,0,0.02825800494116544,15.602261099282732,8,0.7027730914115606
6277,2.0154501819992645,117,0,1,0.03124286457139856,37.72875193544961,8,0.7730215362852791
5785,1.8643214160950943,338,0,1,0.03776020229929916,27.63937621315641,3,0.9674071503429436
2728,2.47,762,2,1,0.04,9.52,8,0.94
6937,2.3198368636166355,408,0,2,0.0335165313694827,34.262400704423484,5,0.9583791328423706
1770,1.9,696,2,2,0.08,68.29,6,0.74
829,1.53,721,4,2,0.04,25.34,6,0.94
3407,2.5,551,2,2,0.07,34.81,6,0.85
2415,2.66,242,0,0,0.07,15.76,2,0.99
627,1.89,618,2,0,0.06,14.7,5,0.59
4072,2.48,267,3,0,0.01,41.28,0,0.89
925,2.06,193,4,1,0.06,63.01,5,0.93
295,0.93,584,4,2,0.08,61.21,3,0.99
1052,1.8,376,2,1,0.06,40.12,4,0.93
2718,2.31,811,3,1,0.09,81.7,0,0.89
5095,2.578540506197936,232,0,1,0.08376793976203338,28.818627960075908,5,0.5888396988101668
6577,2.116835152353705,913,2,1,0.07545126083476678,23.732889342250832,2,0.706835152353705
944,1.79,770,1,3,0.03,89.33,6,0.61
5546,2.38933339459786,486,0,1,0.0651111009003567,27.98533697857266,5,0.8533332567526752
5782,2.0493965431799888,410,1,0,0.054703896936520294,48.26348573260345,1,0.9529272785556421
12,2.6,741,4,1,0.09,40.82,2,0.76
1117,2.23,704,3,1,0.02,46.22,6,0.99
5075,2.5976708087054896,172,1,1,0.040078378879645334,8.685125591676206,7,0.7676708087054896
2716,1.66,791,2,2,0.07,98.8,5,0.75
5538,2.069049119162442,934,0,1,0.1,4.760983082218964,3,0.6119390969633804
1319,2.08,506,3,0,0.07,37.8,6,0.79
3870,2.27,560,0,1,0.05,55.06,8,0.5
6817,2.1844417997278085,800,0,1,0.04219255732970412,31.75282020340944,3,0.654170705367811
6377,2.616990423003148,689,2,1,0.023834929499475348,23.094321920936622,6,0.6946602820020986
2753,1.68,714,1,3,0.08,53.37,4,0.79
2859,1.9,979,4,3,0.03,66.71,8,0.71
6428,2.2575325409555345,573,2,0,0.055497830602964364,17.866713823658152,4,0.869523863367392
653,2.73,459,2,2,0.08,38.83,2,0.89
2441,1.17,983,1,2,0.09,19.36,7,0.68
4127,2.59,461,0,3,0.06,79.08,7,0.73
3905,2.44,388,2,1,0.02,66.23,8,0.85
2392,2.16,439,1,3,0.01,44.69,8,0.61
6804,2.019614105697387,811,1,0,0.03394854742631825,42.122412933400724,3,0.7978327791355343
4774,2.9,494,3,3,0.02,75.06,1,0.53
3916,2.47,781,3,1,0.02,5.87,0,0.72
5078,2.735039457602192,517,0,1,0.07405701371480766,2.9597809851042327,8,0.7559429862851923
5500,1.7518740219581057,465,1,2,0.04144438648640626,43.575885497649665,4,0.7148471280404103
4834,2.53,339,4,1,0.09,37.58,1,0.53
570,1.51,628,1,2,0.09,58.79,9,0.79
1448,3.43,845,4,1,0.1,0.0,4,0.94
5447,1.7649187908468416,247,0,2,0.037459395423420805,34.03839925582419,3,0.8813573075515495
6159,1.812855123723248,475,0,0,0.091567432273934,34.48465105844939,4,0.621725265039822
1745,2.67,654,4,0,0.07,35.24,2,0.63
5110,0.9527044369379765,341,0,1,0.05082505838076285,17.048373235543615,2,0.9619480150540631
287,1.96,916,2,0,0.01,91.34,5,1.0
1738,1.9,128,1,0,0.03,40.08,7,0.76
4354,1.7,781,2,0,0.01,42.44,3,0.96
6621,1.406345796475712,744,0,2,0.015511433817598633,14.573561508877152,6,0.7097914093354717
2615,1.46,534,0,2,0.05,93.13,4,0.66
5769,2.1176393602108727,373,0,1,0.046539343996485454,2.750786879929709,1,0.5646065600351455
6681,2.156815903439404,230,1,2,0.014904638503159498,22.00168655760719,3,0.5273258430890315
6725,2.306014207938018,986,0,3,0.05,7.501642715096382,7,0.770728582140273
3942,2.15,559,4,0,0.05,87.91,3,0.52
1684,2.06,172,4,2,0.1,60.12,0,0.79
4532,2.37,429,4,1,0.08,49.29,4,0.68
1338,2.8,690,1,0,0.09,69.7,6,0.95
2900,2.52,334,4,3,0.09,90.16,8,0.59
5721,1.4488846745228783,378,1,1,0.0870050141511792,21.339241124893768,6,0.5569548726393871
2941,1.87,371,3,1,0.06,48.82,2,0.58
4222,2.44,509,1,3,0.0,5.76,3,0.93
3936,1.95,996,2,3,0.05,91.14,6,0.91
4210,2.14,307,3,1,0.02,33.43,4,0.6
3000,1.97,647,1,0,0.1,54.78,2,0.79
4513,2.61,974,2,0,0.09,8.77,4,0.99
4559,1.6,639,1,1,0.09,50.0,3,0.97
1564,1.99,939,2,0,0.1,12.33,2,0.58
6167,2.556352498286251,417,1,1,0.010323008387436503,2.575784452196342,4,0.6188156359127328
4710,2.71,267,2,0,0.07,20.08,3,0.51
2405,1.93,925,0,2,0.04,60.84,0,0.67
2185,2.3,300,4,0,0.06,66.09,8,0.59
2942,2.83,267,0,1,0.04,3.54,2,0.99
1231,1.83,826,4,1,0.07,1.27,8,0.85
4373,2.2,378,1,3,0.01,60.75,1,0.84
1258,2.56,440,1,3,0.07,63.09,4,0.59
2254,1.96,161,4,3,0.0,39.36,4,0.54
1951,2.23,860,3,0,0.07,49.37,6,0.83
6479,1.8306394015991598,109,1,1,0.004208013297796447,36.41521795890239,0,0.971583973404407
113,2.42,108,0,3,0.04,3.42,8,0.94
6326,2.340182334263845,867,0,0,0.09349088328680775,17.638091503827127,5,0.68963533147231
5100,1.8937015902864633,737,2,1,0.06105759722470385,33.80992440330127,1,0.6870191990749013
6562,2.7849975319742017,987,2,1,0.06989790881580003,23.356510721430148,2,0.936733082105601
507,1.79,331,4,1,0.02,6.13,1,0.85
3479,1.85,855,0,2,0.03,40.03,6,0.78
3100,2.02,632,1,3,0.04,13.64,4,0.53
2678,2.58,127,1,2,0.05,22.18,5,0.9
2471,1.59,162,4,1,0.0,74.48,2,0.58
3341,1.7,850,1,0,0.0,17.36,3,0.59
5715,1.676842277378612,669,1,2,0.05192036930463979,22.90012637174022,1,0.7491608001600529
350,2.03,857,1,1,0.06,79.56,7,0.74
4104,1.81,628,3,2,0.04,30.28,3,0.85
5723,1.754622639397097,716,1,0,0.09,10.765282973804737,2,0.8865633404068973
3686,2.5,664,3,2,0.08,41.73,1,0.95
1114,2.07,914,4,1,0.03,81.9,5,0.67
6679,2.3904909659379094,148,1,2,0.041695735971660486,9.169957843083877,7,0.8489857865722017
298,2.23,963,0,3,0.07,75.58,9,0.54
3258,1.91,619,4,3,0.03,24.56,3,0.92
5533,2.1333341841289624,384,2,3,0.08753842227097096,7.707435780924833,4,0.9578458004387387
5835,2.424077215425376,361,1,0,0.06384121825139821,44.42035137403587,4,0.7328754750662352
5310,2.2301577840971896,664,1,3,0.05921467852887341,6.346147390580709,2,0.8415706429422531
6486,2.6026436542445937,484,0,0,0.0427586096513509,38.63861685384444,4,0.6241379144770264
2789,2.77,123,1,2,0.03,40.77,5,0.59
229,2.19,666,4,1,0.04,93.99,9,0.6
5677,1.279578162780849,348,0,0,0.02996165116189535,14.798569884387964,3,0.8987728371806512
2820,2.61,478,0,2,0.02,36.21,2,0.8
4828,2.24,905,4,2,0.06,59.51,7,0.66
3169,2.43,550,3,2,0.08,25.85,8,0.61
5187,2.1494723231234283,887,1,1,0.05828936026028568,34.08019660820547,7,0.5536851179177146
2103,2.12,116,1,1,0.06,61.39,3,0.88
5483,3.1837238290133834,274,1,3,0.059790794300446114,33.52774093527025,3,0.681324969430508
2628,1.44,191,2,1,0.03,20.16,0,0.94
6924,1.7314053231244395,389,1,1,0.050942733771148434,26.104307072117244,7,0.7536784172139356
4649,1.22,916,3,1,0.0,46.2,6,0.81
1614,1.98,559,2,0,0.01,22.73,6,0.72
607,2.68,650,0,3,0.04,63.82,1,0.8
2926,3.03,956,2,0,0.05,46.11,0,0.51
1093,2.2,200,0,1,0.05,52.36,7,0.66
6198,2.3045347582731566,848,0,1,0.007631316579118988,46.061975826461136,0,0.5557603796782673
6852,2.037413260391602,863,0,0,0.03708558198601318,25.760782490097355,7,0.8893986108531384
6620,2.7781631658051475,740,1,0,0.02,18.033676918754875,6,0.5482055039601503
203,2.4,817,2,2,0.02,78.71,6,0.6
2804,0.78,810,4,3,0.04,60.38,0,0.61
6876,2.1967745835242574,787,1,0,0.004913644777287729,20.160959162466337,4,0.5771977567205071
837,2.38,527,4,1,0.09,83.8,1,0.63
4172,2.51,991,1,2,0.02,42.27,1,0.68
1230,1.31,824,1,2,0.07,9.46,5,0.87
5872,2.592430089656489,703,0,2,0.04,11.220018192446146,4,0.6915942935661384
1609,2.0,538,0,2,0.03,13.91,0,0.56
4365,1.99,730,2,2,0.07,49.34,5,1.0
4424,1.78,434,0,0,0.08,26.29,1,0.82
3399,2.73,217,3,3,0.08,25.92,7,0.81
2522,2.1,712,1,3,0.0,87.57,6,0.68
5349,1.6722708763416014,163,1,2,0.04939443297557296,1.1537685057087614,4,0.7601513917561068
3922,0.83,600,1,3,0.06,17.66,6,0.69
2440,1.91,187,1,3,0.04,90.02,7,0.74
6482,1.9356661272690834,259,1,3,0.09462751443893137,27.160083549234074,6,0.9120917147964379
5270,2.0438797603104013,294,1,0,0.07748113372611053,11.459698139617768,4,0.7474811337261105
6573,2.4518964359157285,346,0,1,0.03661804010472491,8.41588714903388,1,0.7853448404538079
657,2.42,909,1,0,0.02,58.07,9,0.84
790,1.86,808,4,1,0.1,14.7,9,0.79
2347,1.69,631,1,3,0.08,11.36,3,0.54
6716,2.792750384062063,987,1,1,0.01219765655525288,38.31675652905507,3,0.5806566462721783
1359,1.88,277,0,0,0.04,47.37,6,0.62
5111,1.841610094203306,271,0,2,0.0769268470633319,33.483678504762025,0,0.7892929765449762
5952,1.8393103228060659,381,1,1,0.028472903258009413,24.680392915237512,5,0.8945812902259718
3949,1.88,948,2,2,0.01,88.48,1,0.83
5289,1.4681619086756543,444,0,0,0.05244627619715734,34.60720225289575,5,0.587338828591472
6089,1.8145488511028796,579,2,1,0.0470580982620276,19.51630599598465,6,0.7070580982620276
2663,2.43,996,0,1,0.07,96.92,8,0.62
4201,1.38,942,2,2,0.09,69.38,6,0.67
5326,2.334713167119605,841,0,1,0.0022643416440197538,41.14815272086146,0,0.6052868328803951
6955,2.0027938516430406,865,0,0,0.036989150086475825,26.2386618425461,7,0.88386980103771
3544,2.49,127,2,3,0.05,65.16,4,0.6
5953,1.7984846478989474,930,0,2,0.02229092112606315,19.24489640003301,3,0.6843030704202104
1780,2.51,167,1,3,0.03,2.76,4,0.9
2569,1.64,730,4,0,0.08,5.2,0,0.83
803,2.52,243,1,1,0.01,76.61,0,0.93
857,2.18,241,2,2,0.01,86.43,6,0.79
6050,2.6063732341865733,585,0,0,0.02938226440957838,4.345229927995275,8,0.7988807593724109
3320,1.01,459,4,2,0.06,45.15,5,0.81
4914,2.01,596,3,2,0.1,1.5,9,0.95
219,1.53,533,2,3,0.01,36.01,9,0.77
1288,2.54,967,2,0,0.09,99.91,3,0.64
582,2.12,552,3,0,0.05,54.73,5,0.72
43,1.7,254,2,3,0.09,29.03,0,0.96
1234,2.59,257,2,2,0.01,93.07,3,0.55
6809,2.157911172694601,785,1,1,0.05712888776918906,21.700765879899617,4,0.6076178158475717
6750,1.789330962503991,712,0,1,0.04899977773474915,5.533022893320838,1,0.8733318515649943
1892,2.09,211,0,3,0.06,66.32,7,0.72
6556,1.8674242162179173,919,1,0,0.06154547026924965,13.144389405699684,4,0.9336060972949158
3841,3.27,773,1,3,0.06,44.01,3,0.54
5803,2.1158727805443296,567,2,1,0.07480493427419185,36.16977633870907,4,0.7084394741935348
1071,2.07,191,4,3,0.06,71.52,7,0.57
718,1.72,191,2,2,0.08,26.42,5,0.99
1505,2.18,455,1,2,0.07,86.7,3,0.69
670,1.59,193,2,2,0.04,98.58,7,0.92
6964,2.750045514711335,173,1,1,0.07073462478365684,47.63548956317221,0,0.9801651308412654
3951,2.92,345,4,1,0.01,3.23,9,0.63
897,1.57,128,2,3,0.03,77.04,1,0.52
5612,1.738292431984076,913,0,2,0.0288153668594177,2.3107794667741746,6,0.5471077988434938
6802,2.0400722174748553,127,1,1,0.04964300323608432,21.59679662385712,2,0.9066425941750482
4941,1.91,327,4,0,0.08,21.33,4,0.53
2623,1.5,473,0,0,0.05,95.25,4,0.64
5568,1.9276390708616176,402,1,0,0.04538195354308088,34.99127194591109,0,0.749339904733684
5807,2.640889535522292,509,1,2,0.05364418579108331,12.809054353817235,3,0.72
6023,2.255547537226093,453,0,0,0.05134273688675497,8.341271664131257,7,0.6288693891700662
3256,2.48,737,2,1,0.02,55.01,5,0.54
3534,1.32,117,0,2,0.06,61.18,5,0.7
5314,2.780616678637501,228,1,0,0.041343614329951255,24.526827785225983,4,0.619823806103571
1874,0.6,899,2,1,0.08,96.51,8,0.95
2370,1.77,686,0,2,0.08,0.47,6,0.78
1769,1.46,776,2,3,0.01,68.8,5,0.56
5065,1.6430122498865836,342,0,0,0.059720489995463345,20.745560130739474,2,0.6589443201451729
2917,2.09,946,1,2,0.1,7.31,7,0.67
1983,2.42,517,4,3,0.0,7.77,3,0.57
531,3.04,242,4,1,0.06,47.41,5,0.53
4991,1.73,449,2,0,0.09,48.62,4,0.92
5144,1.7873946450906515,435,0,0,0.08047707387681623,26.612740477666172,1,0.8137980396013891
3483,1.38,147,4,1,0.09,30.92,7,0.5
6344,1.690460215583638,337,0,2,0.06845188173698868,37.289373902062486,2,0.924644354789034
2163,1.79,774,3,3,0.06,95.47,8,0.96
731,2.03,717,2,2,0.02,43.97,0,0.66
2339,2.36,408,4,3,0.06,9.57,8,0.57
5067,1.8005426166340002,373,1,1,0.06054261663400022,38.68369376980142,4,0.9332556998040014
2232,2.25,183,3,1,0.04,99.11,2,0.89
3885,0.56,524,1,0,0.01,83.96,9,0.64
4818,2.94,385,3,1,0.09,46.42,0,0.67
1255,1.86,680,2,3,0.1,11.01,2,0.67
2104,2.97,208,2,2,0.04,53.09,4,0.65
3431,1.53,260,1,3,0.0,42.98,0,0.98
5416,1.541850897197561,264,1,0,0.07850865470403252,44.0972171309693,2,0.9312250223048455
898,2.04,371,2,2,0.03,34.17,7,0.55
428,1.06,506,4,2,0.0,92.73,9,0.69
4810,2.09,517,2,2,0.03,46.85,7,0.92
2763,2.18,508,0,0,0.0,63.73,1,0.64
5456,2.0007985886853055,823,0,1,0.066884136246595,22.270876504317716,7,0.8089426082248031
6922,1.9732494355551546,104,1,0,0.023375282222422685,30.91344311378189,0,0.7871539216650129
1222,2.36,484,1,1,0.06,20.88,1,0.68
4999,0.76,754,2,3,0.09,67.08,4,0.54
5260,3.430963877263062,570,2,0,0.07211534627437603,18.96225907590881,5,0.9551925760793677
6478,2.0541241747278205,960,0,1,0.06118626209173092,22.497754251071303,9,0.6005653884526279
6180,1.533084645598533,940,0,0,0.006442790349908318,41.940647391086614,5,0.9063100804174307
3121,1.96,400,2,1,0.05,44.34,2,0.51
1096,2.02,954,2,0,0.0,83.56,3,1.0
2072,1.78,187,0,3,0.04,26.2,6,1.0
6297,2.1190142237177687,279,1,2,0.0793328342555169,6.784561162356537,0,0.746997754149826
3671,2.87,705,1,3,0.08,62.06,1,0.89
5882,2.3775460254929475,363,0,0,0.08070990233400498,8.469571147182645,2,0.6253549511670025
1788,1.76,850,4,3,0.02,40.44,0,0.84
6385,2.091053421997206,255,1,3,0.0944916870685697,22.303607227796174,6,0.9162292176714243
6193,1.8945741195182375,370,1,0,0.0470851760963525,34.812962185105256,3,0.8661808626827254
528,1.82,391,4,3,0.01,81.49,9,0.75
4479,1.17,407,0,0,0.05,50.26,6,0.6
192,2.58,638,1,3,0.01,59.67,6,0.95
2654,1.89,521,1,2,0.07,58.11,3,0.63
1126,2.74,423,2,3,0.03,20.4,6,0.84
3008,1.24,525,0,0,0.01,24.25,5,0.7
4600,2.23,809,3,3,0.07,82.98,9,0.56
2641,1.78,517,1,3,0.09,89.34,6,0.73
304,1.25,225,0,2,0.07,68.49,5,0.78
2705,2.55,180,2,0,0.1,73.25,8,0.63
1292,2.09,208,1,0,0.08,46.83,4,0.65
70,2.3,934,3,2,0.05,44.66,9,0.93
2850,1.42,309,4,2,0.08,35.41,7,0.83
3819,1.76,526,2,0,0.08,56.74,2,0.97
6234,1.7858728700696433,881,1,2,0.02790112116527816,3.528437004127616,3,0.5119576233565478
831,1.61,202,2,2,0.05,25.5,7,0.69
5522,1.8657827880662834,342,1,0,0.039127249071554064,16.440877543445772,6,0.656035985144865
1456,2.57,621,4,1,0.07,34.42,3,0.79
5670,1.493016246232564,850,1,0,0.04444995650681698,9.625274727403252,5,0.7436834928083378
238,2.52,215,2,1,0.09,29.11,1,0.6
92,1.71,317,1,0,0.08,46.72,8,0.64
2638,2.61,809,3,3,0.02,69.98,8,0.98
4582,1.99,964,0,2,0.05,92.04,8,0.87
4266,2.33,263,1,1,0.06,48.65,5,0.66
3571,2.44,843,3,1,0.1,84.94,9,0.66
2594,1.6,484,3,1,0.02,26.09,5,0.73
3279,1.84,760,3,1,0.09,43.89,7,0.76
4372,2.27,537,3,1,0.01,20.3,7,0.9
1001,1.9,972,0,0,0.02,30.08,4,0.85
3168,1.81,864,1,1,0.07,0.27,4,0.61
6685,2.4169146396733767,877,0,0,0.03624806635739625,5.031721275413002,1,0.8206356350343207
2377,2.02,155,4,3,0.1,29.64,5,0.73
3685,2.26,609,2,2,0.01,72.83,6,0.5
4923,2.45,197,4,1,0.08,58.78,5,0.9
2499,1.88,124,1,2,0.02,1.24,0,0.87
1532,1.92,483,0,0,0.07,87.66,8,0.61
2410,2.01,878,2,2,0.06,47.2,0,0.53
4671,1.16,472,2,3,0.02,38.83,2,0.85
411,1.44,481,3,0,0.04,95.14,5,0.74
5961,1.6468863507359877,893,0,0,0.07417171143821677,29.844839119514216,8,0.5447702263875788
6692,2.4721846671407515,898,1,1,0.053272392101088056,19.90846215196065,5,0.5705392538701289
6877,1.5937639936640953,863,0,2,0.042319429476557806,38.97468954823827,4,0.9046388589531156
5982,2.188255044670604,492,0,2,0.06269170402853635,29.46295852341547,6,0.8096087443138998
3617,1.64,547,4,0,0.08,35.29,6,0.67
4063,1.83,146,1,1,0.04,36.15,0,0.77
2944,1.38,653,3,0,0.08,34.09,8,0.84
6870,1.8179190476680311,185,0,1,0.039717176868998894,31.238546938271682,7,0.5568552154206674
5309,1.6146876163049042,723,1,2,0.04719866209886791,44.40759528490754,3,0.6536160548135851
2585,1.58,156,2,1,0.05,37.53,0,0.69
633,2.46,450,4,3,0.07,73.35,9,0.82
498,1.96,876,4,3,0.04,26.67,9,0.64
2463,2.39,212,4,1,0.06,28.37,2,0.88
3718,2.87,259,4,0,0.06,76.17,7,0.65
637,2.31,830,3,1,0.09,2.58,0,0.96
720,2.41,977,1,3,0.08,50.25,5,0.75
4092,1.54,774,1,3,0.06,47.86,1,0.99
757,2.68,116,2,3,0.08,20.26,5,0.96
4628,1.57,321,4,2,0.01,64.27,5,0.97
2588,1.71,100,3,2,0.02,83.66,3,0.52
4043,1.22,894,2,3,0.03,52.05,3,0.6
6054,2.601131891281896,516,1,2,0.06954724348724173,7.189973967841257,1,0.72
5045,2.128396981342042,222,1,3,0.04713673618744006,48.225183479748075,0,0.7549678649840603
596,2.3,933,0,2,0.03,78.75,1,0.67
2742,2.17,112,3,0,0.04,39.56,9,0.58
1068,1.46,822,3,2,0.02,38.73,6,0.55
1942,2.28,130,3,1,0.01,11.28,3,0.72
1647,2.52,859,4,3,0.03,18.99,1,0.88
3012,1.48,220,4,0,0.06,7.05,7,0.93
1700,2.26,624,2,0,0.03,13.35,3,0.78
6635,1.719705725845257,570,1,2,0.010022636473441756,5.324147120186887,9,0.929818908212466
2648,1.68,534,0,3,0.07,63.28,6,0.51
3889,1.51,733,0,2,0.04,88.62,8,0.76
86,1.09,627,0,2,0.02,62.96,3,0.53
2308,2.58,657,3,1,0.05,22.2,5,0.79
4695,2.6,301,3,3,0.08,75.99,5,0.78
2653,2.45,456,1,3,0.05,79.21,6,0.93
3852,1.99,607,0,1,0.04,9.95,7,0.89
1029,3.28,375,4,1,0.09,64.2,0,0.8
3002,2.21,267,0,1,0.05,47.05,8,0.51
5566,1.6486041429805642,532,0,3,0.03620138099352143,9.900386955383906,8,0.7289702448626959
2144,2.37,977,2,0,0.08,99.06,1,0.73
5824,2.162088396252982,518,2,1,0.08697058388505453,39.85029859839383,6,0.6845294900690184
1200,1.71,869,0,1,0.05,86.05,4,0.63
2025,3.1,307,1,3,0.07,28.62,6,0.62
621,2.96,715,0,3,0.06,90.83,6,0.6
6339,2.086842470712934,748,2,2,0.053407356089656376,34.97037474802856,2,0.5732685634215507
566,2.05,107,2,1,0.07,14.91,3,0.53
1837,2.21,914,2,3,0.01,99.78,9,0.86
1334,2.29,503,2,1,0.05,6.25,3,0.69
3573,2.13,680,0,2,0.0,32.18,5,0.97
6633,2.4704560030012424,968,1,1,0.010544112549243277,32.04664122078321,8,0.8641838311761351
2099,2.86,287,3,3,0.05,80.85,1,0.92
4096,2.82,659,0,2,0.07,98.51,4,0.58
5918,2.2383456452396477,376,0,1,0.030040350116106153,46.22773231940402,4,0.5106456018576985
6044,1.9422253902767543,868,0,1,0.05606017405316988,16.94897660167407,4,0.7112177373087917
1688,2.3,771,3,2,0.01,11.64,3,0.92
745,2.09,416,2,2,0.02,23.29,7,0.98
4758,0.98,396,1,1,0.04,19.99,0,0.71
5400,2.116720412722688,217,1,2,0.03289141042977196,36.685681256981965,5,0.6745486213181271
2187,1.95,762,0,2,0.03,72.08,7,0.81
195,1.03,623,4,1,0.05,58.62,3,0.76
