Session_Duration,Daily_Active_Time,Login_Frequency,Level_Progression,In_Game_Currency_Earned,In_Game_Currency_Spent,Achievement_Unlocks,Social_Interactions,Friends_Added,Guild_Participation,Purchase_History,Game_Mode_Preferences,Event_Participation,Item_Usage,Time_of_Purchase,Retention_Rate,Churn_Rate,Referral_Activity,Customization_Preferences,Ad_Engagement,Device_Type,Geographic_Location,Demographic_Age,Demographic_Gender,In_Game_Purchases,Favorite_Items,Discount_Utilization,Promotion_Response,Quest_Completion_Rate,Battle_Participation,Leaderboard_Position,Player_Engagement_Level,Purchase_Likelihood
54.22,1.54,14,12,249,698,6,11,0,1,0,Singleplayer,2,9,Morning,29,0.07,2,7,4,PC,Tonga,47,Female,25.9,Armor,3,9,0.82,10,31.2,0,0
46.35,1.6,17,8,164,194,6,1,1,2,2,Multiplayer,0,16,Evening,20,0.03,3,9,5,Console,Uruguay,21,Female,76.92,Weapon,8,5,0.73,8,46.57,0,1
34.39,2.31,13,5,400,457,8,12,4,1,0,Multiplayer,4,1,Night,28,0.1,3,6,6,Tablet,Liberia,42,Female,53.04,Boost,4,8,0.95,13,90.58,0,1
25.35,1.22,10,2,221,568,4,30,8,3,1,Singleplayer,0,8,Evening,3,0.09,4,8,9,Console,Equatorial Guinea,19,Male,86.09,Weapon,5,1,0.99,15,79.15,0,1
75.63,2.44,7,3,176,317,7,8,0,0,1,Multiplayer,0,2,Evening,1,0.0,1,4,2,Console,Zambia,52,Female,8.27,Armor,6,7,0.93,11,89.8,0,0
19.92,1.31,18,4,375,482,9,23,3,3,4,Singleplayer,0,6,Afternoon,9,0.02,3,4,3,Console,Armenia,57,Male,57.9,Boost,6,2,0.81,15,59.93,0,1
33.39,2.74,19,1,432,459,8,29,5,0,4,Multiplayer,1,0,Night,7,0.1,0,1,9,Tablet,Mayotte,19,Male,48.16,Weapon,3,1,0.54,7,66.37,0,1
45.85,1.7,8,12,700,758,3,7,4,1,1,Multiplayer,2,1,Evening,12,0.03,0,5,5,Console,Haiti,29,Female,81.62,Boost,7,1,0.89,6,66.88,0,1
46.57,1.41,13,8,771,121,6,31,0,0,4,Multiplayer,1,19,Afternoon,27,0.05,0,6,0,PC,Denmark,41,Female,50.8,Weapon,0,5,0.66,4,50.84,0,1
33.91,1.25,10,6,589,460,1,17,8,0,0,Singleplayer,2,0,Night,1,0.08,3,4,3,Console,Czech Republic,18,Male,95.32,Weapon,4,9,0.75,16,49.11,0,1
43.68,1.85,8,9,262,452,3,18,1,3,4,Multiplayer,1,17,Afternoon,13,0.04,1,0,1,Smartphone,Sudan,29,Male,7.72,Boost,5,8,0.98,14,92.3,0,1
41.85,1.89,20,2,874,657,5,47,0,1,1,Singleplayer,2,19,Night,22,0.01,4,5,2,Console,Russian Federation,23,Male,61.26,Weapon,0,3,0.71,19,20.76,0,1
43.91,2.03,7,12,402,354,9,25,8,0,3,Multiplayer,3,13,Night,12,0.07,4,9,3,Smartphone,Thailand,58,Male,64.85,Potion,4,1,0.9,16,29.81,0,1
56.77,2.07,10,14,960,332,7,14,8,3,4,Singleplayer,2,6,Evening,24,0.06,4,4,4,Console,Samoa,59,Male,57.93,Armor,9,0,0.85,19,67.53,0,1
51.27,1.73,18,10,464,568,8,14,0,3,2,Multiplayer,0,8,Afternoon,13,0.0,4,6,9,Smartphone,Mozambique,25,Female,79.34,Weapon,3,5,0.67,6,62.84,0,1
48.65,2.49,11,2,834,353,9,42,1,2,1,Multiplayer,3,4,Night,21,0.02,3,6,9,Smartphone,Argentina,50,Female,10.41,Potion,4,8,0.65,11,0.65,0,0
33.12,1.99,12,3,260,771,9,19,7,0,1,Singleplayer,4,16,Night,4,0.07,4,4,9,Console,Guinea-Bissau,26,Male,66.78,Potion,4,9,0.76,0,18.3,0,1
43.56,1.89,17,10,916,116,5,18,5,1,2,Singleplayer,0,2,Morning,22,0.06,1,2,1,PC,Hong Kong,44,Male,85.4,Potion,5,4,0.53,14,22.72,0,1
51.21,2.02,10,13,222,214,2,39,5,0,4,Multiplayer,3,15,Afternoon,14,0.09,4,5,7,Console,Germany,31,Male,70.43,Weapon,0,2,0.97,10,54.89,0,1
32.84,2.33,11,2,964,261,6,1,3,4,1,Multiplayer,1,13,Evening,17,0.04,1,9,6,Console,Ghana,22,Male,66.51,Boost,9,6,0.82,10,84.65,0,1
50.3,1.7,8,13,254,412,8,29,5,3,2,Multiplayer,4,12,Night,7,0.09,0,5,7,PC,Mayotte,40,Female,29.03,Armor,0,7,0.96,8,68.81,0,0
42.65,2.02,9,11,940,336,3,31,1,0,2,Singleplayer,4,1,Morning,1,0.03,4,2,0,Console,Falkland Islands (Malvinas),52,Male,80.46,Weapon,5,4,0.92,18,76.35,0,1
56.95,1.73,11,10,792,479,7,16,6,2,0,Singleplayer,3,16,Afternoon,25,0.08,0,4,0,PC,Zambia,32,Male,55.47,Weapon,8,4,0.52,18,33.25,0,1
46.74,1.74,16,14,115,390,8,46,4,4,1,Singleplayer,3,6,Morning,14,0.07,0,6,6,Tablet,French Southern Territories,51,Male,6.75,Boost,3,8,0.77,19,91.74,0,0
46.39,2.22,8,11,187,593,2,44,6,3,0,Multiplayer,4,19,Morning,18,0.0,3,7,7,Smartphone,Netherlands Antilles,46,Male,5.44,Boost,2,4,0.98,1,69.36,0,0
53.22,2.11,12,2,849,121,9,20,4,2,3,Multiplayer,4,6,Afternoon,21,0.03,3,4,5,PC,Croatia,21,Female,1.07,Armor,5,9,0.99,19,71.88,0,1
42.09,1.72,10,1,957,637,1,48,2,3,3,Singleplayer,3,17,Evening,25,0.02,1,5,8,Tablet,Bangladesh,44,Female,0.77,Weapon,9,9,0.88,1,96.75,0,1
60.22,1.84,9,3,451,509,6,3,7,4,4,Singleplayer,1,6,Evening,30,0.06,2,5,5,PC,Mexico,23,Female,54.41,Armor,2,8,0.68,18,10.41,0,1
55.52,1.44,9,1,656,739,2,1,3,3,0,Singleplayer,0,5,Evening,2,0.03,2,0,3,Console,Micronesia,47,Male,15.12,Potion,3,5,0.65,18,91.24,0,0
48.52,1.42,20,8,140,609,8,26,2,4,4,Multiplayer,3,18,Afternoon,30,0.08,0,4,8,Smartphone,Zambia,38,Male,63.78,Boost,2,3,0.75,4,89.75,0,1
50.83,1.8,17,13,687,101,8,22,1,3,2,Multiplayer,1,13,Evening,20,0.1,1,3,9,PC,French Polynesia,33,Female,55.35,Boost,8,8,0.58,9,98.77,0,1
51.41,2.0,8,9,762,796,5,25,9,1,3,Multiplayer,3,5,Evening,21,0.02,4,6,2,Tablet,Colombia,36,Female,51.04,Armor,4,9,0.61,17,78.98,0,1
31.58,2.15,12,2,954,373,1,28,2,2,4,Multiplayer,3,0,Evening,3,0.02,1,5,0,Smartphone,Netherlands,28,Female,60.4,Boost,7,1,0.81,9,28.35,0,1
50.72,2.2,16,8,794,189,1,32,9,4,4,Multiplayer,0,11,Night,13,0.05,4,9,2,PC,Iraq,33,Male,93.88,Boost,1,4,0.76,6,12.83,0,1
27.6,2.39,7,12,941,681,4,17,9,2,0,Multiplayer,0,11,Night,15,0.07,2,5,0,Tablet,Kenya,50,Female,60.14,Potion,1,5,0.72,18,31.99,0,1
54.88,2.3,10,9,332,115,9,7,4,2,3,Singleplayer,4,15,Morning,3,0.03,4,4,9,Smartphone,Madagascar,55,Male,94.58,Armor,9,4,0.94,10,21.23,0,1
36.73,1.94,15,12,897,611,0,14,6,0,3,Singleplayer,3,12,Afternoon,15,0.02,3,6,4,Smartphone,Botswana,43,Male,37.42,Boost,3,6,0.87,16,60.16,0,1
47.89,1.81,8,4,770,69,7,44,2,2,1,Multiplayer,3,19,Morning,17,0.08,1,0,5,Console,Reunion,46,Male,46.64,Weapon,0,5,0.57,10,31.37,0,0
42.18,1.33,9,12,978,165,3,16,5,1,0,Multiplayer,0,0,Night,17,0.06,2,1,1,Tablet,Turkmenistan,46,Female,99.72,Boost,8,8,0.61,2,67.21,0,1
36.43,1.84,12,7,397,799,3,27,9,2,2,Singleplayer,1,5,Evening,6,0.07,3,8,2,Tablet,Finland,58,Male,29.0,Boost,0,0,0.71,0,66.65,0,0
45.96,1.07,19,14,279,178,6,25,0,1,3,Multiplayer,3,15,Night,8,0.04,1,6,1,Tablet,Rwanda,42,Male,23.34,Potion,9,8,0.79,1,31.88,0,1
43.52,2.3,9,2,396,453,7,44,1,1,2,Multiplayer,2,18,Morning,10,0.1,1,6,8,Smartphone,Northern Mariana Islands,44,Male,36.31,Potion,8,7,0.66,9,41.33,0,0
53.01,1.85,16,11,120,713,0,32,6,4,1,Singleplayer,1,14,Evening,26,0.1,3,8,6,Tablet,Cambodia,38,Male,29.38,Armor,9,1,0.57,11,56.74,0,0
47.93,1.94,19,9,473,752,1,10,9,4,0,Singleplayer,2,5,Evening,16,0.02,4,8,3,PC,Faroe Islands,58,Male,39.28,Potion,1,2,0.61,0,60.4,0,0
40.98,2.07,10,6,928,270,1,32,9,1,4,Singleplayer,4,9,Night,1,0.07,1,5,9,Tablet,Bahamas,54,Female,76.3,Armor,1,6,0.73,12,21.91,0,1
41.22,2.09,9,5,687,466,0,13,3,0,4,Singleplayer,2,13,Night,9,0.03,0,3,6,Tablet,Equatorial Guinea,34,Female,83.25,Boost,8,3,0.86,17,61.0,0,1
48.9,0.9,9,10,475,332,2,43,4,0,4,Singleplayer,3,13,Morning,19,0.01,2,0,1,Smartphone,Western Sahara,31,Female,53.43,Boost,1,2,0.63,5,88.19,0,1
60.52,2.3,14,1,934,297,8,35,0,0,3,Singleplayer,0,17,Morning,14,0.05,1,0,1,Smartphone,Austria,30,Female,44.66,Armor,9,6,0.93,19,5.97,0,1
29.44,2.61,8,9,682,454,0,46,8,1,2,Multiplayer,0,19,Morning,30,0.05,1,7,8,Console,Cape Verde,41,Male,70.19,Potion,1,4,0.54,2,65.46,0,1
42.34,1.34,15,3,392,705,1,47,5,1,0,Multiplayer,0,4,Afternoon,11,0.01,2,8,2,Smartphone,Norway,20,Male,75.32,Boost,5,1,0.97,8,10.3,0,1
53.1,1.13,9,9,637,467,0,23,1,0,1,Multiplayer,2,2,Afternoon,14,0.07,4,9,5,PC,Antigua and Barbuda,38,Male,9.87,Armor,8,8,0.65,2,98.46,0,0
47.02,0.99,18,14,896,474,2,33,6,1,2,Multiplayer,1,11,Afternoon,12,0.03,1,7,1,Tablet,British Indian Ocean Territory (Chagos Archipelago),52,Male,96.38,Armor,6,9,0.73,18,91.21,0,1
44.69,2.3,7,8,455,315,7,8,8,4,1,Singleplayer,0,10,Night,23,0.02,1,7,3,PC,Morocco,40,Female,78.5,Potion,0,8,0.51,12,34.58,0,1
52.87,2.14,18,2,409,755,5,11,4,1,0,Singleplayer,0,10,Morning,21,0.01,4,9,9,Console,Antigua and Barbuda,52,Male,58.56,Potion,2,8,0.99,13,82.39,0,1
46.54,1.34,20,9,180,603,1,19,3,2,1,Singleplayer,0,17,Evening,3,0.03,0,6,9,Console,Anguilla,40,Male,5.68,Potion,8,5,0.81,19,48.34,0,0
49.87,2.33,14,13,206,569,4,6,1,2,0,Multiplayer,1,19,Morning,23,0.05,3,3,5,Tablet,Poland,55,Male,47.9,Boost,6,9,0.98,4,79.99,1,0
57.34,1.6,15,7,534,489,4,17,6,3,2,Singleplayer,3,5,Morning,1,0.01,0,3,7,Tablet,Sao Tome and Principe,27,Male,96.34,Potion,1,2,0.84,16,32.53,0,1
37.42,2.31,13,6,127,120,7,32,6,3,3,Singleplayer,3,16,Afternoon,26,0.06,0,2,8,PC,South Africa,44,Female,63.49,Weapon,9,8,0.54,8,44.46,1,1
57.57,2.83,14,9,222,407,0,35,1,1,3,Singleplayer,1,9,Afternoon,18,0.09,1,6,9,Tablet,Zambia,38,Female,11.0,Armor,1,4,0.75,19,6.83,0,1
45.31,2.12,9,5,822,112,9,12,4,1,3,Multiplayer,0,10,Night,7,0.04,3,0,7,Tablet,Netherlands Antilles,36,Male,38.24,Armor,9,7,0.74,2,36.25,0,1
33.24,2.59,7,2,176,331,9,28,4,0,2,Singleplayer,2,5,Evening,29,0.09,3,2,4,Tablet,Somalia,35,Male,2.57,Boost,8,6,0.57,6,37.63,0,0
42.56,2.31,16,10,697,286,0,47,1,4,1,Multiplayer,1,7,Evening,26,0.06,0,9,2,Tablet,Western Sahara,25,Male,71.11,Weapon,9,7,0.63,12,41.08,1,1
38.27,1.91,11,10,153,286,3,26,9,2,1,Singleplayer,3,4,Afternoon,19,0.06,4,6,8,Tablet,Algeria,52,Female,89.36,Weapon,8,3,0.94,1,5.76,0,1
37.33,1.09,8,3,627,538,5,5,2,1,0,Singleplayer,1,3,Morning,27,0.02,4,1,0,PC,Lebanon,25,Male,62.96,Potion,3,5,0.53,4,97.07,0,1
54.09,1.52,20,6,804,677,0,46,4,4,1,Singleplayer,2,1,Night,20,0.03,1,4,9,PC,Turks and Caicos Islands,45,Male,51.55,Armor,5,0,0.93,13,32.27,0,1
38.32,2.16,17,6,819,393,4,14,2,3,1,Singleplayer,2,5,Evening,7,0.03,1,7,0,Smartphone,Gibraltar,44,Female,17.63,Potion,6,7,0.89,4,12.11,0,0
67.36,1.21,11,7,188,756,6,3,2,1,1,Multiplayer,4,5,Afternoon,16,0.02,4,0,6,Tablet,Senegal,57,Male,70.24,Weapon,0,2,0.8,2,63.66,0,1
49.61,2.57,10,5,361,755,6,12,7,1,1,Multiplayer,3,7,Afternoon,28,0.0,1,7,0,Smartphone,Seychelles,43,Female,13.43,Boost,5,8,0.97,14,61.99,0,0
57.51,2.23,15,14,967,739,1,45,3,4,3,Singleplayer,1,10,Afternoon,12,0.04,2,8,4,Console,Zambia,47,Female,73.38,Boost,7,8,0.83,11,78.52,0,1
54.26,1.71,12,9,317,385,7,46,0,0,1,Singleplayer,1,0,Afternoon,9,0.08,2,1,7,Smartphone,Yemen,32,Male,46.72,Weapon,8,3,0.64,0,41.72,0,0
44.56,1.48,9,2,341,390,6,29,8,0,4,Singleplayer,0,8,Evening,6,0.02,0,4,8,Console,Micronesia,28,Female,87.96,Armor,2,9,0.97,2,7.82,0,1
48.36,2.11,14,13,125,282,4,30,4,2,3,Singleplayer,4,12,Morning,12,0.09,4,6,5,Tablet,Pitcairn Islands,53,Male,81.54,Armor,9,2,0.72,3,16.14,0,1
36.42,1.12,12,4,285,524,7,6,2,4,1,Singleplayer,3,5,Night,28,0.03,2,4,6,Console,Korea,28,Male,28.52,Weapon,5,0,0.53,6,83.4,0,0
57.59,2.1,13,10,184,624,2,29,6,1,4,Singleplayer,1,8,Morning,23,0.03,0,7,6,PC,Djibouti,43,Female,87.23,Armor,1,1,0.86,16,10.71,1,1
20.65,2.16,16,8,130,368,4,40,2,4,0,Multiplayer,1,19,Evening,19,0.02,3,3,6,Smartphone,Tuvalu,41,Male,42.87,Weapon,9,9,0.96,5,57.75,0,0
50.14,2.02,12,14,934,117,8,43,0,1,0,Multiplayer,4,0,Evening,27,0.01,4,3,3,PC,Wallis and Futuna,23,Female,26.55,Potion,9,0,0.72,7,91.35,1,0
49.07,1.45,13,13,791,406,6,38,0,4,2,Multiplayer,4,5,Morning,11,0.02,1,2,3,PC,Korea,50,Male,36.59,Potion,0,5,0.63,10,52.3,0,0
46.77,1.75,20,6,680,494,7,24,8,1,0,Singleplayer,4,10,Evening,12,0.04,0,4,8,PC,Japan,45,Male,33.16,Potion,5,6,0.72,10,27.7,0,0
51.2,2.14,16,3,498,606,5,11,3,2,3,Multiplayer,2,13,Evening,14,0.1,0,5,8,Smartphone,Paraguay,28,Female,31.62,Armor,0,0,0.64,1,65.5,0,1
48.2,1.07,16,11,465,458,5,27,9,3,0,Multiplayer,4,10,Morning,24,0.01,3,1,4,PC,Rwanda,22,Female,93.73,Boost,6,4,1.0,7,7.83,0,1
38.67,2.23,11,10,806,540,1,6,0,1,4,Multiplayer,1,4,Morning,15,0.06,3,3,4,Console,Peru,55,Female,76.88,Potion,9,1,0.61,4,20.35,0,1
56.55,1.77,16,8,849,345,5,43,4,1,4,Multiplayer,2,13,Evening,17,0.05,0,3,4,PC,Portugal,18,Female,17.6,Armor,4,3,0.69,5,27.02,0,1
48.23,2.49,17,13,709,428,4,3,1,3,3,Multiplayer,2,12,Afternoon,14,0.0,3,4,8,Console,Austria,58,Male,83.36,Armor,3,0,0.7,1,17.82,0,1
58.24,2.18,10,12,158,734,9,37,9,0,2,Multiplayer,4,3,Evening,12,0.08,2,4,5,Console,Bouvet Island (Bouvetoya),40,Male,99.48,Potion,4,4,0.98,6,63.81,0,1
45.54,1.88,14,13,336,471,5,44,8,4,3,Singleplayer,3,16,Morning,5,0.02,3,7,7,Smartphone,Norway,38,Female,91.56,Potion,0,5,0.59,9,63.76,0,1
41.26,1.68,12,6,594,766,2,28,7,1,4,Singleplayer,2,18,Evening,23,0.03,1,6,0,Console,Saint Lucia,37,Female,70.69,Weapon,4,4,0.75,16,0.56,0,1
48.42,1.75,9,7,731,575,4,24,2,2,1,Multiplayer,3,17,Afternoon,21,0.0,4,0,1,Console,Nigeria,54,Female,5.93,Potion,8,7,0.81,7,98.77,0,0
47.98,2.95,12,12,823,784,7,47,0,2,2,Singleplayer,0,15,Morning,9,0.1,4,3,0,Smartphone,Slovenia,28,Male,16.38,Potion,2,2,0.79,9,89.66,0,0
41.39,1.74,17,6,116,399,1,26,8,2,4,Singleplayer,1,10,Evening,13,0.06,0,6,1,Console,El Salvador,48,Male,38.24,Armor,7,0,0.88,10,40.46,0,1
46.54,2.42,8,3,511,385,2,3,7,2,3,Singleplayer,2,6,Evening,26,0.03,0,2,0,PC,Nicaragua,26,Male,96.29,Weapon,4,3,0.54,3,80.56,0,1
28.51,2.42,7,3,108,440,8,45,2,2,0,Singleplayer,4,7,Night,16,0.04,2,3,5,Smartphone,Guinea-Bissau,22,Male,3.42,Armor,8,7,0.94,15,69.28,0,0
43.29,1.31,12,6,262,350,0,5,9,1,3,Singleplayer,3,2,Afternoon,3,0.03,0,4,7,Smartphone,Serbia,46,Male,96.64,Weapon,3,7,0.72,17,22.58,0,1
30.19,1.6,7,2,273,263,6,43,9,3,0,Singleplayer,1,15,Afternoon,18,0.07,1,7,9,PC,Benin,26,Male,61.26,Potion,4,7,0.89,14,71.08,0,1
53.16,1.21,9,6,408,797,7,31,6,0,4,Multiplayer,3,13,Evening,26,0.08,1,6,4,Console,Burkina Faso,39,Male,35.82,Boost,7,7,0.58,16,97.32,0,1
34.75,1.31,18,2,416,717,4,23,7,4,0,Singleplayer,0,8,Afternoon,9,0.08,3,7,1,Tablet,Antigua and Barbuda,58,Female,20.43,Boost,6,0,0.92,9,59.39,0,0
45.05,2.24,20,9,988,416,3,47,9,3,0,Multiplayer,1,14,Evening,10,0.08,0,2,3,Smartphone,Falkland Islands (Malvinas),49,Female,50.52,Potion,0,5,0.81,8,22.74,0,1
52.19,1.44,8,5,816,523,7,33,7,1,1,Singleplayer,1,0,Afternoon,25,0.01,1,1,2,Console,Malaysia,34,Male,76.66,Potion,1,6,0.52,5,11.94,0,1
35.73,1.55,20,2,495,646,2,43,9,4,1,Multiplayer,4,6,Afternoon,9,0.0,1,0,0,Smartphone,Moldova,33,Male,98.01,Potion,8,8,0.59,13,80.23,0,1
40.83,3.05,18,9,737,726,8,49,2,1,2,Singleplayer,2,1,Night,9,0.05,2,4,2,Tablet,Sweden,50,Male,81.03,Boost,3,7,0.76,18,79.77,0,1
33.46,2.23,7,10,203,592,5,31,8,3,1,Multiplayer,0,9,Morning,12,0.02,1,4,6,Console,Dominica,21,Female,36.93,Weapon,6,2,0.54,13,37.35,0,0
39.43,1.49,20,13,380,63,6,25,3,3,2,Singleplayer,2,12,Evening,19,0.05,0,8,1,Tablet,Mayotte,30,Male,68.83,Armor,5,4,0.56,1,8.28,0,1
43.09,1.96,16,2,720,774,2,47,9,3,2,Singleplayer,3,18,Night,22,0.0,0,2,8,PC,Reunion,25,Male,29.89,Boost,7,8,0.62,6,54.87,0,0
46.33,2.28,14,10,255,746,2,31,2,1,4,Singleplayer,3,14,Afternoon,11,0.07,1,2,5,PC,Gibraltar,47,Female,97.22,Weapon,1,9,0.59,10,32.57,0,1
46.0,2.08,20,12,597,393,8,3,2,4,0,Multiplayer,0,11,Afternoon,8,0.1,2,2,7,Tablet,Tokelau,31,Female,48.54,Boost,3,1,0.94,11,10.16,0,0
42.59,2.47,10,14,513,431,9,6,7,3,1,Multiplayer,4,10,Afternoon,24,0.04,1,4,9,Tablet,Macedonia,36,Female,12.43,Potion,1,5,0.59,4,89.23,0,0
41.44,0.84,18,4,632,418,6,41,2,1,0,Singleplayer,4,2,Night,29,0.0,1,8,6,Smartphone,Bosnia and Herzegovina,48,Male,80.57,Armor,6,0,0.85,19,15.42,0,1
53.91,2.23,10,3,944,649,2,22,4,4,1,Singleplayer,4,8,Afternoon,9,0.05,0,5,5,PC,Svalbard & Jan Mayen Islands,58,Female,55.62,Potion,0,1,0.89,3,28.86,0,1
51.81,1.11,20,8,894,439,9,28,5,2,1,Multiplayer,0,5,Afternoon,15,0.04,3,9,1,PC,Azerbaijan,42,Female,5.13,Boost,3,0,0.63,1,6.7,0,0
58.34,2.27,20,12,535,773,8,31,1,2,1,Singleplayer,2,8,Morning,2,0.07,2,3,6,Console,Haiti,52,Female,6.95,Boost,6,8,0.57,11,75.0,0,0
45.93,2.3,12,8,221,738,3,31,3,2,4,Singleplayer,0,13,Morning,11,0.1,4,6,5,Tablet,Paraguay,44,Female,75.46,Weapon,7,0,0.76,7,94.62,0,1
32.99,1.92,7,1,478,107,1,16,9,0,4,Singleplayer,3,7,Afternoon,13,0.01,4,3,4,Console,Barbados,32,Female,42.88,Weapon,9,3,0.86,6,20.68,0,1
46.7,1.46,19,2,396,213,6,19,4,1,1,Singleplayer,4,12,Evening,29,0.02,1,3,4,Smartphone,France,54,Male,95.76,Armor,1,3,0.7,1,87.28,0,1
39.33,1.69,14,12,712,536,7,4,3,0,4,Singleplayer,4,8,Evening,3,0.03,0,5,4,Tablet,Japan,50,Male,1.15,Potion,1,7,1.0,6,94.62,0,1
24.43,2.72,8,2,651,708,6,18,9,3,4,Multiplayer,0,16,Afternoon,21,0.03,0,6,2,Smartphone,Falkland Islands (Malvinas),23,Female,52.1,Weapon,9,5,0.68,16,24.71,0,1
43.23,2.65,8,3,281,375,7,27,8,0,3,Multiplayer,1,17,Night,18,0.08,4,2,9,Console,Nigeria,39,Male,20.03,Boost,2,4,0.73,6,28.88,0,1
40.63,1.26,16,4,988,169,1,8,5,4,2,Singleplayer,2,14,Morning,25,0.04,3,4,7,PC,Turkey,49,Male,58.4,Armor,7,7,0.78,2,79.95,0,1
32.31,1.44,17,4,290,652,2,25,8,3,4,Singleplayer,4,3,Morning,15,0.09,1,7,6,Console,Afghanistan,45,Female,39.42,Boost,7,0,0.58,18,84.39,0,1
